ts_code,trade_date,open,high,low,close,vol,amount
600000.SH,2024-01-02,19.92,20.25,19.75,20.0,1000.0,20000.0
600000.SH,2024-01-03,20.080877878718464,20.410877878718463,19.910877878718463,20.160877878718463,1007.0,20302.004023869493
600000.SH,2024-01-04,20.227347921227896,20.557347921227894,20.057347921227894,20.307347921227894,1014.0,20591.650792125085
600000.SH,2024-01-05,20.34658839392316,20.676588393923158,20.176588393923158,20.426588393923158,1021.0,20855.546750195543
600000.SH,2024-01-08,20.428775160545328,20.758775160545326,20.258775160545326,20.508775160545326,1028.0,21083.020865040595
600000.SH,2024-01-09,20.468163183100707,20.798163183100705,20.298163183100705,20.548163183100705,1035.0,21267.34889450923
600000.SH,2024-01-10,20.463718970730273,20.79371897073027,20.29371897073027,20.54371897073027,1042.0,21406.55516750094
600000.SH,2024-01-11,20.419234352695334,20.749234352695332,20.249234352695332,20.499234352695332,1049.0,21503.696835977404
600000.SH,2024-01-12,20.342909050654324,20.672909050654322,20.172909050654322,20.422909050654322,1056.0,21566.591957490964
600000.SH,2024-01-15,20.246448003223946,20.576448003223945,20.076448003223945,20.326448003223945,1063.0,21607.014227427055
600000.SH,2024-01-16,20.143772814849807,20.473772814849806,19.973772814849806,20.223772814849806,1070.0,21639.436911889294
600000.SH,2024-01-17,20.049489180564663,20.37948918056466,19.87948918056466,20.12948918056466,1077.0,21679.45984746814
600000.SH,2024-01-18,19.97727900187683,20.30727900187683,19.80727900187683,20.05727900187683,1084.0,21742.090438034484
600000.SH,2024-01-19,19.938394199491697,20.268394199491695,19.768394199491695,20.018394199491695,1091.0,21840.06807164544
600000.SH,2024-01-22,19.94041803316083,20.27041803316083,19.77041803316083,20.02041803316083,1098.0,21982.41900041059
600000.SH,2024-01-23,19.986430290134745,20.316430290134743,19.816430290134743,20.066430290134743,1105.0,22173.405470598893
600000.SH,2024-01-24,20.07466824337297,20.404668243372967,19.904668243372967,20.154668243372967,1112.0,22411.99108663074
600000.SH,2024-01-25,20.19872070330228,20.528720703302277,20.028720703302277,20.278720703302277,1119.0,22691.888466995246
600000.SH,2024-01-26,20.34823380072043,20.678233800720427,20.178233800720427,20.428233800720427,1126.0,23002.1912596112
600000.SH,2024-01-29,20.510050803952872,20.84005080395287,20.34005080395287,20.59005080395287,1133.0,23328.527560878603
600000.SH,2024-01-30,20.66966049222849,20.99966049222849,20.49966049222849,20.74966049222849,1140.0,23654.61296114048
600000.SH,2024-01-31,20.812794639487517,21.142794639487516,20.642794639487516,20.892794639487516,1147.0,23964.035451492182
